# Time-averaged data for fix AVE_TD_cummul
# TimeStep c_thermo2_temp c_thermo_press v_varCell v_varVolume c_thermo_pe v_varDensity v_varKE
0       300.00000000      6211.22484153        12.43200000      1921.42308557    -30056.57017096         0.99617000         7.40660631
4       302.54421644      4599.25393221        12.43200000      1921.42308557    -30056.63257300         0.99617000         7.46941967
8       303.95592592      5563.36812874        12.43200000      1921.42308557    -30056.66793873         0.99617000         7.50427293
12       301.73429632      7238.70244229        12.43200000      1921.42308557    -30056.61302857         0.99617000         7.44942381
16       298.84320703      7943.88377832        12.43200000      1921.42308557    -30056.54101376         0.99617000         7.37804661
20       298.87580175      7958.36357567        12.43200000      1921.42308557    -30056.54250093         0.99617000         7.37885133
24       299.29366834      7995.10151619        12.43200000      1921.42308557    -30056.55249208         0.99617000         7.38916791
28       301.59329900      8141.59932797        12.43200000      1921.42308557    -30056.61006885         0.99617000         7.44594277
32       301.79817601      8278.99504637        12.43200000      1921.42308557    -30056.61521060         0.99617000         7.45100091
36       301.05085340      8260.46103555        12.43200000      1921.42308557    -30056.59642801         0.99617000         7.43255050
40       301.33702309      8280.17072908        12.43200000      1921.42308557    -30056.60402408         0.99617000         7.43961565
44       301.50351319      8476.55447445        12.43200000      1921.42308557    -30056.60798571         0.99617000         7.44372608
48       302.88663573      8585.23048807        12.43200000      1921.42308557    -30056.64248083         0.99617000         7.47787356
52       303.12759542      8537.89807979        12.43200000      1921.42308557    -30056.64818068         0.99617000         7.48382254
56       303.35266637      8421.08640258        12.43200000      1921.42308557    -30056.65340191         0.99617000         7.48937924
60       304.00630131      8468.80018583        12.43200000      1921.42308557    -30056.66958462         0.99617000         7.50551663
64       305.03374079      8591.01908375        12.43200000      1921.42308557    -30056.69498456         0.99617000         7.53088276
68       306.15525431      8566.68715751        12.43200000      1921.42308557    -30056.72277421         0.99617000         7.55857146
72       306.33813681      8537.08271552        12.43200000      1921.42308557    -30056.72706018         0.99617000         7.56308659
76       306.51919534      8622.86719370        12.43200000      1921.42308557    -30056.73161054         0.99617000         7.56755669
80       306.13994148      8814.19847620        12.43200000      1921.42308557    -30056.72194877         0.99617000         7.55819341
84       306.51165653      8881.67203497        12.43200000      1921.42308557    -30056.73119906         0.99617000         7.56737056
88       306.70478166      8843.22678378        12.43200000      1921.42308557    -30056.73587444         0.99617000         7.57213857
92       306.86323991      8851.99498549        12.43200000      1921.42308557    -30056.73975407         0.99617000         7.57605070
96       307.05502863      8958.85784498        12.43200000      1921.42308557    -30056.74453542         0.99617000         7.58078571
100       307.14884363      9019.50215113        12.43200000      1921.42308557    -30056.74663994         0.99617000         7.58310188
