# Time-averaged data for fix AVE_TD_frames
# TimeStep c_thermo2_temp c_thermo_press v_varCell v_varVolume c_thermo_pe v_varDensity v_varKE
0       300.00000000 742446118.49345994        23.47039700     12928.89198561     -1104.56119156         0.14804548         0.27218778
4       302.05904395 361310293.72317719        23.47039700     12928.89198561     -1104.56293708         0.14804548         0.27405593
8       307.56806454 501567791.42992252        23.47039700     12928.89198561     -1104.56751204         0.14804548         0.27905423
12       292.64389636 831300237.74822378        23.47039700     12928.89198561     -1104.55501134         0.14804548         0.26551364
16       287.78301367 959046334.44717085        23.47039700     12928.89198561     -1104.55020072         0.14804548         0.26110340
20       293.71392429 1003188036.00390851        23.47039700     12928.89198561     -1104.55636963         0.14804548         0.26648447
24       299.90363979 865225267.64059830        23.47039700     12928.89198561     -1104.56218511         0.14804548         0.27210035
28       319.94719197 641456143.23970652        23.47039700     12928.89198561     -1104.58143159         0.14804548         0.29028572
32       296.29641043 579155164.43939006        23.47039700     12928.89198561     -1104.55906823         0.14804548         0.26882754
36       305.78703032 555489361.25339687        23.47039700     12928.89198561     -1104.56823818         0.14804548         0.27743831
40       305.36945360 715152426.24995959        23.47039700     12928.89198561     -1104.56809760         0.14804548         0.27705944
44       318.44039298 794986496.02676535        23.47039700     12928.89198561     -1104.57984108         0.14804548         0.28891861
48       334.57804149 666519714.09302926        23.47039700     12928.89198561     -1104.59342596         0.14804548         0.30356018
52       307.48569199 394981991.24364471        23.47039700     12928.89198561     -1104.56693720         0.14804548         0.27897949
56       314.21828783 169539115.70681050        23.47039700     12928.89198561     -1104.57151909         0.14804548         0.28508793
60       297.67386112 525896123.05610371        23.47039700     12928.89198561     -1104.55917863         0.14804548         0.27007729
64       317.77119404 661461932.17447996        23.47039700     12928.89198561     -1104.57789559         0.14804548         0.28831145
68       324.65012421 475867889.69985110        23.47039700     12928.89198561     -1104.58304236         0.14804548         0.29455265
72       304.09250830 317955438.86478752        23.47039700     12928.89198561     -1104.56323257         0.14804548         0.27590088
76       304.26077209 364398757.61556095        23.47039700     12928.89198561     -1104.56349938         0.14804548         0.27605355
80       282.29839987 805010245.78355908        23.47039700     12928.89198561     -1104.54323625         0.14804548         0.25612725
84       304.56103461 933445699.40714848        23.47039700     12928.89198561     -1104.56289891         0.14804548         0.27632597
88       308.34690759 778920392.10799026        23.47039700     12928.89198561     -1104.56708651         0.14804548         0.27976087
92       293.56020205 554822179.57518733        23.47039700     12928.89198561     -1104.55417092         0.14804548         0.26634500
96       305.45466391 445478614.03480089        23.47039700     12928.89198561     -1104.56496513         0.14804548         0.27713675
100       293.20124929 783558314.54162931        23.47039700     12928.89198561     -1104.55255679         0.14804548         0.26601932
